label,teks,emotion
3,saya merasa kasar terhadap orang lain,Anger
0,"kadang-kadang aku tidak yakin bahwa aku menjalani kehidupan yang ingin aku jalani meskipun aku juga tidak yakin bahwa berada di london menjadi pengacara yang terjebak dalam tabung atau dalam rapat akan terasa tidak terlalu membosankan, tidak terlalu biasa, tidak terlalu dangkal",Sadness
0,aku merasa seperti anak kecil yang tidak tahu harus berbuat apa ketika aku terluka,Sadness
1,aku mulai merasa seperti salah satu makhluk bumi yang lebih anggun di bawah air dibandingkan di darat,Joy
0,"aku tidak tertarik dengan ini tapi melihat ke belakang sekarang aku seharusnya mendapatkannya, itu agak lucu dan aku juga tidak merasa sangat busuk di dalamnya",Sadness
1,saya merasa lebih percaya pada dunia pada saat yang sama,Joy
0,aku tidak akan pernah merasakan perasaan patah hati itu karena perasaan itu berada jauh di bawah perasaan lindungku,Sadness
4,"aku melakukannya, aku benar-benar ingin melakukan yang baik dan hanya bersenang-senang dan tidak ingin teman-temanku merasa aneh dan canggung",Fear
1,"aku merasa baik-baik saja dan benar-benar lega, tapi satu setengah jam lagi aku akan mengalami kondisi yang sangat parah lagi",Joy
0,aku merasa sangat mati rasa dan tertidur namun setiap perasaan begitu tajam dan penuh rasa sakit,Sadness
1,"saya hanya merasa tidak nyaman dan sangat lelah, merasa luar biasa jika dibandingkan",Joy
0,"saya sebenarnya berdebat untuk tidak minum kopi hari ini karena dapat meningkatkan kadar insulin tetapi saya merasa sangat lelah, hal itu terjadi begitu saja",Sadness
0,"saya berada dalam situasi di mana saya merasa sama buruknya dengan yang saya rasakan ketika saya hanya merokok lima bungkus ya untuk anda, para ahli matematika, rokok sehari",Sadness
2,"aku merasa lembut. kupikir yang sederhana adalah yang terbaik, jadi aku memilih salah satu dari beberapa pilihan di maddhur jaffreys, kari lentil merah yang mudah dengan jahe",Love
0,aku tidak merasa menyesal lalu dia menghilang,Sadness
1,"aku memperhatikannya dan aku merasa sangat bersyukur saat ini atas emosi yang begitu kuat, cinta yang menusuk hati, yang ditimbulkan oleh suara dan pemandangan langkah kaki",Joy
0,aku bisa meyakinkan diriku sendiri untuk pergi tanpa merasa menggelikan,Sadness
3,"aku mendengarnya menghela nafas di seberang sana aku membayangkan apa yang dia rasakan, dia pasti marah, dia tidak bisa lagi merasakan kesedihan, dia marah pada dunia yang melupakan orang-orang seperti kita, orang-orang sepertiku, tidak ada yang salah denganmu, apakah kamu mendengarku?",Anger
3,aku tidak merasa serakah terhadap hal-hal duniawi jadi itu bukan masalah besar,Anger
4,aku bilang kari ada di mulutmu tapi tidak terasa tidak nyaman,Fear
1,aku tidak tahu bagaimana perasaanku tentang judulnya tapi mereka memanggilnya malaikat bantal karena secara realistis yang bisa dia lakukan hanyalah berbaring di sofa dan terlihat cantik.,Joy
0,aku merasa agak canggung minggu ini terutama hari ini,Sadness
4,saya terbangun dengan perasaan agak tidak nyaman tetapi perasaan itu segera berlalu dan saya bisa tertidur kembali,Fear
1,aku berusaha keras untuk tidak menghakimi diriku sendiri dan itu sangat menyakitkan ketika aku merasa orang-orang yang seharusnya mendukungku malah menghakimiku atas apa yang aku alami.,Joy
4,saya tidak lagi merasa tertekan untuk terus-menerus melakukan sesuatu,Fear
0,aku merasa seperti orang yang kotor sekarang bagi orang lain meskipun ada yang tahu aku masih merasa mual di dalam,Sadness
0,"aku merasa ingin membicarakannya saat ini yang biasanya berarti tentang tautan bodoh menggambar film musik, buku komik, dan kata-kata kasar sesekali",Sadness
2,aku merasa memberi kembali kepada penggemarku tercinta adalah demi kepentingan terbaik semua orang,Love
1,saya merasa senang,Joy
1,"aku memilih warna-warna telanjang dan merah muda, tetapi ketika aku merasa berani, aku akan memilih warna-warna pop",Joy
0,saya mendapati diri saya meminta orang untuk mengulanginya dan merasa agak bodoh,Sadness
1,saya rasa itu sebabnya saya merasa sangat penting untuk merayakan hidupnya atau kehidupan siapa pun yang anda cintai,Joy
1,saya berbicara dengan tom dan atau kim bellwood saya merasa jauh lebih cerdas,Joy
0,yang masih saya jalani setiap hari adalah meskipun setiap hari saya menghadapi pertempuran di dunia balita dan merasa seperti ibu yang tidak mampu yang ditakdirkan untuk gagal dalam pekerjaan mengasuh anak ini.,Sadness
1,saya merasa bahwa waktu saya bersamanya adalah saat yang paling berhasil dalam misi saya,Joy
0,aku merasa murung setiap kali hujan,Sadness
3,aku tidak merasa marah,Anger
4,aku merasa skeptis tentang ini,Fear
2,aku akhirnya mulai merasa kamu manis,Love
0,aku bilang aku harus pergi dan dia menggumamkan sesuatu tentang perasaan bersalah karena dia punya istri dan anak,Sadness
0,aku pergi tidur malam itu dengan perasaan sangat busuk dan bahkan tidak pergi ke mana pun untuk makan malam,Sadness
2,menurutku abel adalah orang yang sangat lembut,Love
0,aku menganggapnya aku merasa sangat kesepian,Sadness
0,aku merasa murung meskipun matahari menyinari mantel musim dinginku yang besar dan meskipun aku membayangkan diriku berada di sebuah pulau yang jauh dari dunia senyuman palsu dan percakapan lama yang sama,Sadness
4,mau tak mau aku juga merasa mulai enggan menghabiskan waktu bersama dan untuknya,Fear
3,mau tidak mau aku merasa kesal dan jengkel dan apakah aku menyebutkan rasa frustrasi,Anger
3,aku merasa ingin membual haha ​​tapi aku menyukai mataku dan otak sarkastikku seperti yang disebutkan,Anger
3,"aku juga merasa meskipun aku benar-benar mengacau dan melakukan hal-hal yang sangat bodoh dan konyol, dia akan tetap ada untukku",Anger
3,aku ingin sedikit lagi dan aku pergi tidur dengan perasaan kesal karena aku begadang tanpa mengetahui apa pun,Anger
0,aku tahu seminggu telah berlalu dan aku mulai merasa tidak enak lagi,Sadness
0,maksudku sebenarnya itu hanya masalah membuatku merasa tidak penting dan itu tidak sulit sama sekali,Sadness
5,aku mulai merasa sangat lucu,Surprise
2,"aku mengambil pesan hidup itu sulit, kadang-kadang sangat sulit sehingga semuanya terasa terlalu berlebihan dan laki-laki akhirnya melakukan pemotretan tubuh pirang panas atau kita tidak ada wanita yang begitu pintar tidak perlu melihatnya dan malah lari darinya tetapi tidak pernah begitu sulit sehingga tidak bisa diatasi dengan sedikit kompromi di sana-sini",Love
3,aku merasa benci dan sepertinya aku tidak akan pernah bangga pada diriku sendiri,Anger
0,"saya merasa lelah sebelum berolahraga, namun saya akhirnya melakukan latihan yang hebat",Sadness
2,"aku melihat semua hal ini, melihat foto-foto lama dan membaca kembali fanzine lama. aku mulai merasa sangat bernostalgia dan biasanya aku tidak menyukai nostalgia",Love
5,saya tidak lagi merasakan sensasi goyah yang aneh,Surprise
1,"saya kira yoga terasa seperti sesuatu yang dilakukan oleh orang kulit putih kaya dan ketika saya pergi, saya merasa seperti saya berpura-pura atau lewat atau berpura-pura dan mencoba menjadi sesuatu yang tidak saya lakukan.",Joy
1,"aku merasa sangat bersemangat dengan makanan fashion seni akhir-akhir ini, jadi bersemangatlah",Joy
2,saya menyukai cakrawala kecil yang nyaman sebagai sebuah perusahaan dan bagaimana mereka mengutamakan keluarga di atas keuntungan dengan mendukung pertanian keluarga,Love
0,aku menghabiskan hari-hariku menangis bersama bayi yang baru lahir melemparkannya ke kursi mobil berlarian anak-anak ke mana-mana berurusan dengan balita nakal yang kurang tidur dan umumnya merasa tidak enak,Sadness
3,aku membalas dengan melotot ke arahnya dengan perasaan sedikit terhina karena bank darah yang patuh itu mengizinkan lebih banyak makanan daripada aku,Anger
1,"akulah yang membuatku merasa tidak menyenangkan dan karena ini adalah blogku, aku merasa baik-baik saja jika membicarakanku di sini",Joy
2,saya juga merasa berada di puncak sekarang dengan semua nominasi ini dan menyukai penghargaan saya,Love
4,saya merasa gelisah dan terkadang tidak bersyukur dan tidak bahagia,Fear
1,saya merasa disambut diundang dan nyaman,Joy
1,saya bisa bangun dengan perasaan baik-baik saja dan tiga jam kemudian kembali ke tempat tidur dengan sedikit rasa sakit di kuadran kanan bawah,Joy
0,"menurutku, hal yang paling umum ketika aku merasa stres adalah mudah tersinggung dan merasa cemas",Sadness
0,saya merasa hal itu mengurangi kestabilan emosi orang lain,Sadness
0,saya menemukan bahwa saat-saat seperti ini adalah saat kita bisa berkumpul untuk menyaksikan dan berdebat tentang karya lain dan diberi tahu bahwa dia tidak memahami film tersebut hanya membuat saya merasa lebih berkecil hati dengan tindakannya karena saya merasa bahwa karya tersebut seharusnya hanya ditonton semata-mata untuk pencitraan yang terlibat.,Sadness
0,saya telah membaca sepuluh terbitan pertama dengan cepat dan saya sudah merasa sedikit murung dan bernostalgia karena mengetahui bahwa saya hanya mempunyai sembilan terbitan tersisa,Sadness
0,aku bangun sedikit lebih lambat dari yang kuinginkan aku terus berguling dan kembali tidur dan bangun dengan perasaan dianiaya tanpa alasan yang jelas,Sadness
0,aku hanya seorang gadis biasa aku bosan aku takut aku merasa diabaikan aku merasa bahagia aku menjadi konyol aku tersedak oleh kata-kataku sendiri aku membuat harapan aku punya mimpi,Sadness
3,aku ingin mengatakan ya pada keinginannya tapi belum tahu bagaimana menjadi ibu yang kuat yang dia butuhkan jadi kami akan tinggal di dalam rumah selama berhari-hari di musim dingin membuatku merasa agak kesal dan sering lapar,Anger
2,saya bahkan membacakan bagian injilnya pada pagi natal sehingga dia bisa merasakan bahwa imannya yang sangat dia hargai tidak diabaikan.,Love
1,saya merasakan sedikit petunjuk yang memberi petunjuk tentang kemungkinan pemberian,Joy
2,"aku berada di tempat lain aku akan menganggapnya sebagai pertanda baik dari nyala api perak, tapi yang aku rasakan hanyalah kerinduan dan kebencian terhadap tempat ini, tempat yang jauh di mana nyala api perak itu nyaris tidak bersinar.",Love
4,aku bisa merasakannya setelah beberapa saat yang tersiksa,Fear
4,saya ingat pergi ke pusat pelatihan misionaris dan merasa sangat rentan,Fear
0,"aku bersumpah bahwa suatu hari ketika aku merasa paling buruk, aku akan membuat komentar keras di pendengarannya tentang bagaimana jean harlow meninggal karena keracunan peroksida karena dia mengecat rambut kemaluannya menjadi pirang.",Sadness
1,"aku mendapati diriku merasa gembira, damai, frustrasi, jengkel, takjub, sombong, bersyukur, terdorong, diperkuat, kecewa, tersinggung, bergairah",Joy
2,"saya mengalihkan rasa frustrasi itu kepada orang-orang yang saya rasa menjadi penyebabnya, alih-alih bersimpati terhadap kekurangan mereka",Love
0,saya merasa penonton tidak senang tidak dapat menerima komentar penembak jitu,Sadness
4,aku tidak terlalu suka sarapan karena sering kali berpusat pada kue-kue manis yang membuatku merasa heebie jeebies karena ketika aku memakannya aku merasa gemetar dan kotor dua jam kemudian,Fear
3,aku masih merasa marah,Anger
2,saya merasa ini bukan alasan utama mengapa dia diterima di kedelapan,Love
1,aku merasa sangat aneh dengan pakaian aneh,Joy
1,"saya merasa tidak bisa menjelaskannya dan memberikan keadilan pada pengalaman yang luar biasa ini, jadi saya akan mengambil kutipan dari jurnal saya, saya menulis, kami dapat melihat semua langkah upacara saat kami menghirup tubuh yang terbakar.",Joy
1,saya suka nuansa pedesaannya yang ramah anak-anak dan gadis-gadis saya suka menari sehingga benar-benar memiliki segalanya,Joy
1,saya sedang menjalani infus actemra bulanan dan saya merasa luar biasa,Joy
0,"aku sedih, kesepian, sengsara, dan merasa tidak berdaya",Sadness
3,saya ingat saya pernah mengalami ini sebelumnya dan itu adalah perasaan yang saya benci,Anger
0,aku merasa sangat busuk dan bersalah,Sadness
3,"aku memerankan perasaanku melalui perilakuku yang terkadang kasar, berteriak dan memotong kata-kata",Anger
3,"aku merasa seiring bertambahnya usia, hal itu menghilang dan sikap keras kepalaku mendorongnya semakin jauh. aku merasa tidak terhubung dengan masa laluku dan aku takut akan masa depanku dan masa kini hanya membuatku frustrasi",Anger
0,"aku merindukan seseorang yang tidak menghargai diriku apa adanya, yang membenciku karena hasrat dan kesuksesanku, dan yang membuatku merasa terkuras secara emosional dan rentan terhadap hal-hal yang tidak berguna.",Sadness
1,saya rasakan tentang mcraven di ut tidak yakin div kelas g plusone ukuran data data sedang href http wilcfry,Joy
1,"aku berangkat untuk mengerjakan celana boxerku dan kuharap kamu juga sibuk dengan proyekmu, jadi aku tidak akan merasa seperti orang aneh yang menjahit di hari sabtu yang cerah dan indah ini",Joy
0,aku mulai merasa tersesat dan gelap aku cenderung kembali ke jalur yang benar dengan membaca buku tentang gangguan makanku oleh karena itu aku akan membawa buku bersamaku,Sadness
1,saya mencoba untuk hanya fokus pada hal-hal positif di sekitar saya sebagai pengalih perhatian dan untuk tetap merasa bersyukur dan berterima kasih atas apa yang belum disentuh dan tidak mengancam untuk diambil oleh saya dalam hari-hari saya dan dalam hidup kami.,Joy
0,aku masih merasa kesepian,Sadness
4,"saya selalu merasa sedikit skeptis terhadap hal-hal ini karena faktanya pemerintah kita tidak selalu jujur ​​kepada kita mengenai berbagai hal, namun justru menjadikan hal-hal tersebut sebagai hal yang bermanfaat bagi diri mereka sendiri.",Fear
1,saya merasa cukup percaya diri dengan hal-hal yang saya tulis tergantung pada topiknya,Joy
1,aku merasa sangat lembut saat ini,Joy
0,aku adalah seorang beyotch yang pemarah karena dia membangunkanku dari tidur siang dan aku biasanya merasa sangat tidak berterima kasih,Sadness
1,saya merasa jika pihak yang saya cintai gagal memenangkan pertandingan maka itu tergantung pada saya,Joy
4,aku mencoba untuk baik-baik saja di lingkungan seperti ini aku benar-benar berusaha bersikap seolah aku baik-baik saja tapi aku merasa dihakimi jadi entahlah aneh,Fear
1,aku tidak bisa mengubah situasi agar aku merasa lebih dihargai aku akan meninggalkan situasi itu,Joy
0,aku terbangun pagi ini dengan perasaan tertekan tentang apa yang terjadi dalam hidupku,Sadness
0,aku tidak yakin apakah secara tidak sadar aku merasa sedikit bersalah karena berdebat dengan ibuku,Sadness
2,"aku benar-benar menikmatinya dan merasakan perasaan ketika madison dan evan mendapatkan momen manis mereka, tapi aku berharap ada sedikit ketegangan lagi di awal.",Love
1,aku merasa cukup berbudi luhur pada hari jumat lalu karena aku benar-benar memetakan rencana untuk hari-hari itu,Joy
4,aku merasa agak aneh tentang apa artinya itu dalam hidupku,Fear
1,saya merasa sangat terinspirasi oleh keindahan dan pesona pedesaan,Joy
0,saya merasa tertekan dan frustrasi karena saya bekerja paling baik dan paling kreatif ketika apa yang saya lakukan terasa seperti bermain,Sadness
2,aku suka merasakan anak kecilku yang manis menendang dan bergerak sejauh ini merupakan bagian terbaik dari kehamilan,Love
1,saya telah berhati-hati minggu ini dalam pilihan dan jumlah makanan saya dan saya merasa lebih energik dan lebih ringan dalam menanggapinya,Joy
5,"aku benar-benar tidak berpikir aku punya harapan untuk menang, jadi aku merasa sangat terkejut ketika aku mulai memberikan pidatoku",Surprise
4,aku menjadi sangat cemas aku merasa seperti aku bahkan tidak bisa menjalin persahabatan dengan pria mana pun lagi karena aku takut aku akan jatuh cinta pada mereka,Fear
4,"saya merasa sebagian besar desainer menghindari penggunaan warna di dapur, jadi saya sangat menyukai cara julia memadukan percikan warna oranye, biru, dan hijau di seluruh ruangan.",Fear
1,saya merasa bahwa saya cukup cerdas dan saya memiliki beberapa keterampilan yang berguna,Joy
0,aku merasa cukup bermasalah saat ini,Sadness
0,aku merasa hampa di dalam dan aku mencari benda dan orang untuk merasakan kehampaan di dadaku,Sadness
4,saya merasa cukup khawatir tentang hal itu sebelumnya. saya belum melakukan cukup latihan karena harus pergi bekerja dan kemudian berlibur dan rasa gugup benar-benar meningkat.,Fear
2,"aku merasa tuhan sangat murah hati pagi ini dan langsung memberiku bongkahan besar yang membuatku sedikit gugup untuk selanjutnya, tapi hei, aku akan menerimanya.",Love
1,saya merasa trik keberuntungan bisa menyenangkan dan menghibur jika kita mengetahui beberapa trik saat kita menggunakan mesin pencari google untuk mencari informasi di internet dengan kata kunci tertentu,Joy
3,aku tidak ingin berteman dengannya tapi aku juga merasa itu tidak sopan dan aku akan membuatmu terlihat buruk jika aku tidak berteman dengannya,Anger
1,aku merasa kami tetap kreatif bersama-sama aku rasa kami semua merasa ada sisi dari diri kami yang terabaikan baik secara pribadi maupun artistik,Joy
2,"aku tidak terlalu berbelas kasih padanya saat ini, mudah tersinggung ketika cemas dan baru saja baik-baik saja, tetapi jangan mulai aktif mencari masalah ketika kamu adalah gadis tua baru di sekitar sini",Love
0,aku merasa aku menjadi semakin letih,Sadness
3,aku merasa picik pada mereka yang lebih memilih untuk melewatkan salat,Anger
3,aku merasa seperti orang yang gila topi ini,Anger
4,"aku memutuskan untuk menimbang, mungkin seharusnya aku tidak melakukannya, tetapi aku merasa paranoid, oke",Fear
1,"saya ingin memberdayakan perempuan. saya benar-benar merasa bahwa mereka adalah jenis kelamin yang lebih cerdas, tetapi itu saja sudah cukup",Joy
3,"saya benar-benar merasakan perasaan terhadap karakter-karakternya sehingga ketika mereka bersikap tidak baik terhadap satu sama lain tanpa berpikir atau sengaja, hal itu kurang kontras bagi saya untuk peduli.",Anger
1,aku merasa sangat diberkati dan beruntung,Joy
4,"aku masih tidak bisa menahan perasaan takut, gugup, takut dan sakit hati hanya dengan memikirkannya",Fear
5,aku pikir mungkin ada sesuatu yang menggigitku walaupun aku familiar dengan perasaan terkejut jadi aku meletakkan jari telunjuk di tanganku yang lain dan ternyata hal itu terjadi lagi.,Surprise
1,saya hadir karena saya ingin mendapatkan pengalaman ini tanpa tekanan tambahan yang tak terhindarkan dari apakah anda merasa kreatif,Joy
4,saya merasa tidak terlalu terhambat oleh rasa sakit dan ketidaknyamanan seperti sebelumnya,Fear
1,saya sering merasa bahwa saya bisa menjadi diri saya sendiri dan selalu diterima,Joy
1,ketika saya mendapat surat beasiswa dari australia,Joy
2,aku hanya tidak merasa sayang dengan kasih sayang warna dan cacing di apel eden rajutanku adalah benangnya aku membangun proyek ini di sekitar satu gulungan pendek jitterbug jadul dengan warna yang merajut menjadi lumpur tidak peduli berapa banyak atau sedikit jahitan yang aku pakai pada jarumku,Love
0,aku merasa sangat buruk tentang diriku sendiri,Sadness
0,saya merasa seperti dikurung dan dipukuli berulang kali,Sadness
2,"aku tidak merasa diriku kurang memperhatikanmu ketika aku lelah aku tidak melihat diriku tidak ingin bertemu denganmu sepulang kerja, hariku meskipun aku lelah sibuk",Love
1,saya yakin semuanya akan baik-baik saja selama beberapa tahun atau sampai saya merasa kaya dan mendapatkan kona,Joy
2,saya merasa murah hati,Love
0,aku merasa seperti aku terus-menerus setengah menonton film sedih,Sadness
4,"saya mulai merasa gelisah, stres dan berat dengan beban",Fear
3,saya mulai merasa gelisah,Anger
1,"aku masih belum merasa cukup sehat untuk pergi ke gym sepulang kerja, jadi aku pulang ke rumah untuk makan malam bersama suamiku dan langsung naik ke atas untuk bekerja.",Joy
1,saya merasa lebih santai karena kebutuhan akan kekakuan dan struktur yang jelas telah sedikit berkurang dan saya merasa lebih bahagia,Joy
3,"aku merasa dia juga egois. dialah yang menyuruhku pergi keluar dan bertemu orang lain. aku melakukannya, tapi dia kesal karena dia dan aku sudah tidak dekat lagi.",Anger
0,"saya rasa para pengguna yang memilih susu formula dibandingkan bfing tanpa mencoba produk tersebut tidak perlu malu, mereka hanyalah korban dari semua cuci otak itu.",Sadness
3,"aku akan memendam perasaanku dan menjadi kesal, jahat, dan jelek sampai akhirnya aku meledak",Anger
1,"aku harap begitu, tapi aku tetap merasa bahwa aku tidak bisa mengandalkan hal itu sebagai kebenaran dan menjadi berpuas diri karena akan mudah bagi mereka untuk menemukan kami hanya melalui google.",Joy
4,aku hanya merasa itu agak aneh,Fear
0,saya merasa lesu dan lelah,Sadness
1,"aku melihat adegan ini, memikirkan betapa lucunya adegan ini dan menikmati perasaan bangga yang meluap-luap atas keceriaan anjingku",Joy
1,aku merasa aku perlu berbagi seluruh bagian hidupku yang aku syukuri sehingga aku tidak membiarkan momen negatif kecil ini menguasaiku,Joy
3,aku merasa sepertinya orang tidak boleh iri dan bergosip tentang orang lain,Anger
0,saya ingin secara aktif merasa canggung dan membuat kesalahan sepanjang waktu,Sadness
3,"aku merasa lelah, aku masuk angin, atau otakku sakit karena terlalu banyak pikiran berkeliaran, aku berhenti",Anger
0,aku langsung merasa kecewa,Sadness
0,aku lelah merasa tidak diterima dan tidak diinginkan di rumahku sendiri,Sadness
4,saya masih merasa ragu untuk menempuh jalan itu,Fear
1,"menurutku tudungnya membuat sweter ini terlalu kasual untuk dipakai ke kantor, jadi aku tidak memakai sweter ini",Joy
1,aku seharusnya merasa bertekad,Joy
2,aku mengetik aku merasa rindu menarik-narik hatiku,Love
0,"aku masih merasa tidak setuju dengan momen kredo kita, diikuti dengan permintaan maafku, aku tersiksa, diikuti dengan omong kosong",Sadness
2,saya merasa terberkati karena dia memilih saya menjadi ibu dari anak-anaknya karena kami menghasilkan beberapa anak yang sangat tampan,Love
0,saya tahu beberapa orang merasa seperti target kosong rel nofollow href http www,Sadness
0,"saya bisa terus bercerita tentang bagaimana terkadang kita merasa tidak dicintai, kesepian, diabaikan, pernikahan menjadi semakin tidak intim seiring bertambahnya usia",Sadness
1,saya merasa sangat pintar membalik tas ke dalam untuk mendapatkan foto lapisannya. ini adalah saku bagian dalam yang lain dan href http,Joy
2,aku bisa merasakan mimpi buruk ciuman nakal itu kembali,Love
0,aku merasa sangat bodoh dan kekanak-kanakan,Sadness
4,saya tidak merasa terlalu kewalahan dan benar-benar berinteraksi dengan merek dan pemiliknya,Fear
1,saya merasa perlu membuat judul halaman blog dari timbunan lemak menjadi luar biasa,Joy
1,"aku merasa sedikit senang, sedikit diserbu dan sungguh aneh",Joy
0,namun aku akan mengatakan bahwa aku memperhatikan diriku merasakan rasa tidak puas akhir-akhir ini,Sadness
5,aku merasa aneh melihat telepon,Surprise
1,saya tahu bagaimana merasakan hubungan kami kuat dan kami dekat,Joy
0,kadang-kadang aku merasa bersalah minum-minum di dekatnya karena aku tidak ingin dia menghakimiku,Sadness
4,saya merasa lemah dan malas dia bisa memotivasi saya dan sebaliknya,Fear
3,aku merasa marah,Anger
0,saya juga menjatuhkan rantai saya pada lap pertama yang hanya membuat saya merasa semakin kalah,Sadness
1,aku telah merencanakan untuk mampir ke pesta ulang tahun steven dan sadie karena aku sangat yakin bahwa setiap orang berhak merasa populer di hari ulang tahunnya dan satu orang lagi di sebuah pesta mungkin merupakan satu poin lagi yang populer.,Joy
3,"aku ya untuk mengatakan ya, bunga gunungku dan pertama-tama aku memeluknya ya dan menariknya ke arahku sehingga dia bisa merasakan payudaraku wangi ya dan hatinya menjadi gila dan ya aku berkata ya aku akan ya",Anger
1,saya masih berpegang pada ini sampai batas tertentu saya merasa ada garis tipisnya,Joy
1,saya suka kutipan ini karena menurut saya ini adalah gambaran sempurna tentang persahabatan,Joy
1,saya merasa bertekad untuk mengetahui perasaan itu,Joy
0,"aku tidak sendiri, tapi aku merasa kesepian, seolah-olah tidak ada temanku yang bisa memahamiku sama sekali, tidak mengerti apa yang aku pikirkan, dan mungkin, aku tidak bisa lagi membuatku menikmati waktu bersama mereka.",Sadness
5,aku merasa musim perubahanku belum berakhir tapi aku selalu takjub dengan bagaimana kehidupan terus berjalan,Surprise
0,"aku tidak benar-benar memperlihatkannya kepada orang lain. orang-orang tahu bahwa aku merasa terganggu dengan tindakanmu, tetapi tidak ada yang benar-benar mengerti bagaimana kamu sebenarnya membuatku merasa kamu benar-benar menyalahgunakan persahabatan kita dan kamu menggunakan aku sebagai sistem ventilasi.",Sadness
3,aku mencoba menjelaskan perasaanku bukan frustasi atau judes atau apapun,Anger
1,aku merasa dia tidak senang,Joy
0,saya merasa tidak enak mempersembahkan kepada anda buku harian foto makanan paling lezat ini,Sadness
3,aku merasa kamu tidak berperasaan untuk membalasnya juga,Anger
4,saya merasa tidak aman dan merasa seperti ketika saya berjalan dari sekolah ada seseorang yang mengikuti saya,Fear
1,saya masih merasakan nyeri pada otot bokong saya sejak hari sabtu yang luar biasa a href http www,Joy
0,aku terbangun dengan perasaan benar-benar tidak berharga tanpa sebab yang jelas,Sadness
4,aku mencoba membuat logan sadar tapi dia bersikap malu-malu dan pergi,Fear
1,aku merasa bebas lagi,Joy
0,aku bisa saja diajak bicara tanpa merasa bodoh,Sadness
0,aku tidak merasakan bagian emosionalnya sama sekali,Sadness
0,aku merasa sangat menyedihkan dan hampa,Sadness
3,saya merasa agak terhina pada tingkat kecerdasan,Anger
